,text,task_2,PRFN,OFFN,NONE,c_text
0,4lakh cases in a day ðŸ˜” @PMOIndia @drharshvardhan @narendramodi @HMOIndia are u capable enough to interpret what can happen from here. If not #ResignModi and implement President's Rule. Seeing people around me die everyday breaks me emotionally. Yet u the allpowerful stay hidden https://t.co/xfljY0c3bo,OFFN,0,1,0,4lakh cases in a day ðÿ˜”     are u capable enough to interpret what can happen from here if not resignmodi and implement president's rule seeing people around me die everyday breaks me emotionally yet u the allpowerful stay hidden httpstcoxfljy0c3bo
1,"@SiennaSummerEIC @Chantel_Etoile You do understand how social media works, right? You canâ€™t just make outrageous accusations like calling someone a â€œpimpâ€ and not expect to be questioned on that",PRFN,1,0,0, etoile you do understand how social media works right you canâ€trade markt just make outrageous accusations like calling someone a â€œpimpâ€ and not expect to be questioned on that
2,$66000 is such a weird fine for trying to get home. #IndiaCovidCrisis #Scottythefukwit  can anyone explain it? not you scotty shut the hell up. #worstScottSinceCaptain,PRFN,1,0,0,66000 is such a weird fine for trying to get home indiacovidcrisis scottythefukwit  can anyone explain it not you scotty shut the hell up worstscottsincecaptain
3,@MickeyBlowtorch I've been frustrated by this commercial since I've first scene it. The bitch ignores her bloody child while having a ball playing with tlher cat. Hits way to close to realty for a lot of parents who ignore their kids.,PRFN,1,0,0, i've been frustrated by this commercial since i've first scene it the bitch ignores her bloody child while having a ball playing with tlher cat hits way to close to realty for a lot of parents who ignore their kids
4,just want the swagger of that one asshole drummer in the Cheerios shirt in the sorry you're not a winner video,PRFN,1,0,0,just want the swagger of that one asshole drummer in the cheerios shirt in the sorry you're not a winner video
5,"@LeatherboyJBo Cover those nipples, you don't want to look like a whore!  Clamps would work.",PRFN,1,0,0, cover those nipples you don't want to look like a whore  clamps would work
6,Guys I've blocked that account for a reason lmao. This the 2nd time in the space of a few hours my tl has been flooded with people quoting that shithead. Maybe I'll join too in the morning lol. It's 12:47 am here and I'm going to sleep. Bye. Just block every cunt you find. https://t.co/vZueqSYoje,PRFN,1,0,0,guys i've blocked that account for a reason lmao this the 2nd time in the space of a few hours my tl has been flooded with people quoting that shithead maybe i'll join too in the morning lol it's 1247 am here and i'm going to sleep bye just block every cunt you find httpstcovzueqsyoje
7,Jst we know 2 cry on the lynches done by the #goons in #Bengal . If u R considering urself a secular and well educated being silent.die of shame. nearly one 1lakh #Hindusinbengal forced to flee away of their own houses.. shame on ur #Secularism #BengalBurning  @AmitShahOffice hlp,HATE,0,0,0,jst we know 2 cry on the lynches done by the goons in bengal  if u r considering urself a secular and well educated being silentdie of shame nearly one 1lakh hindusinbengal forced to flee away of their own houses shame on ur secularism bengalburning   hlp
8,The harsh truth of the matter is....Modi and his team is not resigning NOT because they want to retain their position of power...it's actually because they are shit scared about what Indians would do to them once they become ordinary citizens. #Resign_PM_Modi #ResignModi,HATE,0,0,0,the harsh truth of the matter ismodi and his team is not resigning not because they want to retain their position of powerit's actually because they are shit scared about what indians would do to them once they become ordinary citizens resignpmmodi resignmodi
9,@narendramodi @MamataOfficial I'm just fed up with your willingness to became a new Gandhi ...sir sorry to say that you  disappointed us...Not a single tweet to condemned #BengalViolence and in solidarity of our #BJPKaryakartas ...wake up .. #BengalBurning,NONE,0,0,1,  i'm just fed up with your willingness to became a new gandhi sir sorry to say that you  disappointed usnot a single tweet to condemned bengalviolence and in solidarity of our bjpkaryakartas wake up  bengalburning
10,"Ethics, values and compassion should been the mantra at this stage. Unfortunately many sick minds are using it as a tool to make fortune. Look at just bed blocking and black marketing of drugs. It's not covid killing people, it's the greedy and creepy humans. #IndiaCovidCrisis",PRFN,1,0,0,ethics values and compassion should been the mantra at this stage unfortunately many sick minds are using it as a tool to make fortune look at just bed blocking and black marketing of drugs it's not covid killing people it's the greedy and creepy humans indiacovidcrisis
11,dont know who tf Margaret is but this bitch been giving people out the wrong phone number for at least a decade now and iâ€™m fukin sick of getting her calls! like how tf do you not know youâ€™re number and at that continue to keep going out the wrong one when you set up appointments,OFFN,0,1,0,dont know who tf margaret is but this bitch been giving people out the wrong phone number for at least a decade now and iâ€trade markm fukin sick of getting her calls like how tf do you not know youâ€trade markre number and at that continue to keep going out the wrong one when you set up appointments
