,Unnamed: 0,_id,tweet_id,text,task_1,task_2,frac_profane,polarity
0,998,60c5d7495659ea5e55df0b7b,hi_hasoc_2021_998,hindus dying hinduslivesmatter kindattnpmnarendramodi coronasecondwaveinindia modimadedisaster resignmodi bjp rss liars i warned 2 yrs back rssterrorists banned by sardar patel ignored शेरनहींभेड़ियापाललियाभक्तो mautkasaudagar,NOT,NONE,0.0,-0.5302944332361221
1,4049,60c5d7495659ea5e55df1b73,hi_hasoc_2021_4049,सब लोग इतने पैसे डोनेट ही कर रहे हैं फिर भी आम आदमी को सिलेंडर और कन्सेंट्रेटर ख़ुद से ही ख़रीदना पड़ रहा है तो पैसे कहाँ जा रहे हैं बीयर्ड ऑयल में indiafightscorona indianeedoxygen indiacovidcrisis,NOT,NONE,0.0,-0.4689931720495224
2,1757,60c5d7495659ea5e55df0d1b,hi_hasoc_2021_1757,शेरए सिवान शहाबुद्दीन साहब से रिश्ता क्या لا إله إلا الله محمد رسول الله justiceforshahabuddin,NOT,NONE,0.0,0.1701812744140625
3,5175,60c5d7495659ea5e55df0e45,hi_hasoc_2021_5178,आसमानी किताब के नाजायज औलाद है।,HOF,OFFN,0.0,-0.31370045244693756
4,1825,60c5d7495659ea5e55df0ee1,hi_hasoc_2021_1825,इसे कहते हैं दोगला पंती जिस सपा की दम पर 0 से 10 का सफर किया और माया अपनी इज्ज़त बचा पाई आज उसी सपा को मिटाने की बात कर रही हैं,NOT,NONE,0.0,-0.04560551047325134
5,5407,60c5d7495659ea5e55df13af,hi_hasoc_2021_5410,बिहार की आम जनता को बहुत ही नाराजगी है केंद्र सरकार की सिस्टम से और लालू परिवार से यह दिन काले अक्षरों में लिखा जाएगा और आने वाला पीढ़ी इसे याद रखेगा जो एक संसद को अपमानित किया गया अपनी मिट्टी नहीं मिलने दिया आज हमारी बारी है तो कल तुम्हारी बारी होगी justiceforshahabuddin,HOF,HATE,0.0,-0.6192869395017624
6,5848,60c5d7495659ea5e55df1b22,hi_hasoc_2021_5852,यही तेरी असलियत है कि चोरी रोज करेगा खेत मे लेकिन कभी भी उसे स्वीकार नहीं करेगा। गजेटियर भी तुझे दे दिया तब भी तू कुत्ता का कुत्ता ही रहा। अब भाग कुत्ते की औलाद। जा कहीं भैंस गन्ने की चोरी कर ले सुबह घर कैसे चलेगा तेरा।,HOF,OFFN,0.08333333333333333,-0.483513742685318
7,5761,60c5d7495659ea5e55df1c1c,hi_hasoc_2021_5765,भोजपुरी का 2 टके का सिंगर किसी के लड़की का नाम लेकर फूहड़ गाना बना सकते है कभी सोचा है कि वो लड़की जब घर से बाहर निकलती है मोहल्ले में पान दुकान पे dj में उसका नाम लेकर फूहड़ गाना बज रहा होता है तो कैसा महसूस करती होगी घर आके क्या सोचती होगी dop shiva chaudhary,HOF,HATE,0.0,-0.04621747136116028
8,3664,60c5d7495659ea5e55df1ad1,hi_hasoc_2021_3664,muddagaramhai चुनाव नतीजों के बाद बंगाल में जारी हिंसा अप्रत्याशित बीजेपी कार्यकर्ताओं के ख़िलाफ़ जारी हिंसा राज्य प्रायोजित दोषियों के ख़िलाफ़ कड़ी कार्रवाई की जाए प्रकाश जावडेकर bjp tmc westbengalviolence bengalburning,NOT,NONE,0.0,-0.6880389340221882
9,3331,60c5d7495659ea5e55df1701,hi_hasoc_2021_3331,मूर्ख लड़की,HOF,OFFN,0.0,-0.8720294050872326
10,4023,60c5d7495659ea5e55df18f6,hi_hasoc_2021_4023,जो शहाबुद्दीन के साथ हैं वो इस ट्वीट को रीट्वीट करें और इस हैसटैग पर ट्वीट करें justiceforshahabuddin,NOT,NONE,0.0,-0.05876681208610535
11,1212,60c5d7495659ea5e55df0bf0,hi_hasoc_2021_1212,यदि बाबरी ढ़ांचा गिरने पर तत्कालीन भाजपा द्वासित 4 राज्य सरकारों को बर्खास्त कर उन राज्यों में राष्ट्रपति शासन लगाया जा सकता है तो आज बिहार में लोकतंत्र के ढ़ांचे को तहसनहस कर के जिस प्रकार से नरसंहार चल रहा है वहां की राज्य सरकार को तुरंत बर्खास्त करना चाहिए। bengalburning,NOT,NONE,0.0,-0.4449133574962616
12,4872,60c5d7495659ea5e55df0d5f,hi_hasoc_2021_4875,what a shameless guy दोगला,HOF,OFFN,0.0,-0.7956860587000847
13,1857,60c5d7495659ea5e55df0e3f,hi_hasoc_2021_1857,कृषिकानूनरद्दकरनेपड़ेंगे godimedia banevm 25सांसदलापताहै resignmodi zeenews aajtak,NOT,NONE,0.0,-0.06451168656349182
14,5113,60c5d7495659ea5e55df0e67,hi_hasoc_2021_5116,वर्तमान स्थिति में मुझे लगता है कि हमारे राष्ट्रपति जी और हमारे प्रधानमंत्री जी धृतराष्ट्र की तरह हैं राष्ट्रपतिजीबंगालसंभालो bengalburning bengalvoilence,HOF,HATE,0.0,-0.13601133227348328
15,6026,60c5d7495659ea5e55df1bbe,hi_hasoc_2021_6031,अमेरिका में तुम जैसे लोग दोगला राजनीति नहीं करते है इसलिए वहां मास्क नहीं लगाना पड़ रहा है,HOF,OFFN,0.0,-0.4201500713825226
16,1794,60c5d7495659ea5e55df1058,hi_hasoc_2021_1794,कोई यहाँ भी नज़र डाले modikavaccinejumla,NOT,NONE,0.0,-0.13649234175682068
17,62,60c5d7495659ea5e55df0526,hi_hasoc_2021_62,aajtakदलालमोदीका,NOT,NONE,0.0,-0.04661369323730469
18,4608,60c5d7495659ea5e55df0bca,hi_hasoc_2021_4609,सवाल यह नही कि वो मुझे वेश्या कहता है सवाल तो यह है कि मुझे वेश्या बनाया किसने नवनीत,HOF,HATE,0.0,-0.33960307389497757
19,4598,60c5d7495659ea5e55df0c87,hi_hasoc_2021_4599,जानवर भी हमें बहुत कुछ सिखाती है । किस तरह पानी को बचाना चाहिए ये हम सभी को इस हाथी से सीखने की जरूरत। खूबसूरत दृश्य,NOT,NONE,0.038461538461538464,0.26834605634212494
20,4260,60c5d7495659ea5e55df069b,hi_hasoc_2021_4260,तिहाड़ जेल के स्पेशल सेल में कोरोना पहुंचा कैसे मुझे लगता हे ये सिस्टम का कोरोना है justiceforshahabuddin,NOT,NONE,0.0,-0.25603631138801575
21,2915,60c5d7495659ea5e55df150e,hi_hasoc_2021_2915,इसी टाइम पे वन नेशन वन इलेक्शन होना चाहिए था justiceforshahabuddin exitmodi presidentruleinbengal नरेंद्रमोदीग्लोबलपप्पू bengalburning दीदीओदीदी bengalelection2021 electionresult,NOT,NONE,0.0,-0.06559816002845764
22,893,60c5d7495659ea5e55df0c9e,hi_hasoc_2021_893,कोविड टीकाकरण राजस्थान में गांवों में कैंप लगाए जाने से टीकाकरण मुहिम पर क्या असर पड़ा है रिपोर्ट rajastan covidsecondwave covidvaccine,NOT,NONE,0.0,-0.16495046019554138
23,5706,60c5d7495659ea5e55df1805,hi_hasoc_2021_5709,ये हरामी शिक्षक नहीं शिक्षक के नाम पर कलंक है सालों को फांसी से कम सजा नहीं होनी चाहिए,HOF,OFFN,0.05263157894736842,-0.8607564941048622
24,318,60c5d7495659ea5e55df05a4,hi_hasoc_2021_318,ये तस्वीर अपनी ज़ेहन में बिठा लेना ये तस्वीर को बर्बादी पर ले जाएगा। justiceforshahabuddin,NOT,NONE,0.0,-0.5821836441755295
25,4726,60c5d7495659ea5e55df0958,hi_hasoc_2021_4727,मोदी तुम इस्तीफा दो हम तुम्हारे साथ है resignmodi resignpmmodi modihataodeshbachao,NOT,NONE,0.0,-0.014434844255447388
