,text,task_1,Hate,c_text,dale_chall,bad_words,num_words,all_caps,emoji,capitals,total_length,caps_vs_length,num_unique_words,words_vs_unique,num_urls,!,?
0,4lakh cases in a day ðŸ˜” @PMOIndia @drharshvardhan @narendramodi @HMOIndia are u capable enough to interpret what can happen from here. If not #ResignModi and implement President's Rule. Seeing people around me die everyday breaks me emotionally. Yet u the allpowerful stay hidden https://t.co/xfljY0c3bo,HOF,1,lakh cases in a day are u capable enough to interpret what can happen from here if not and implement president's rule seeing people around me die everyday breaks me emotionally yet u the allpowerful stay hidden,11.36,1,44,0.0,0.0,17,305,0.05573770491803279,42,0.9545454545454546,1,0.0,0.0
1,"@SiennaSummerEIC @Chantel_Etoile You do understand how social media works, right? You canâ€™t just make outrageous accusations like calling someone a â€œpimpâ€ and not expect to be questioned on that",HOF,1,you do understand how social media works right you cantrade mark just make outrageous accusations like calling someone a pimp and not expect to be questioned on that,10.89,0,29,0.0,0.0,9,200,0.045,28,0.9655172413793104,0,0.0,0.034482758620689655
2,$66000 is such a weird fine for trying to get home. #IndiaCovidCrisis #Scottythefukwit  can anyone explain it? not you scotty shut the hell up. #worstScottSinceCaptain,HOF,1,$6600 is such a weird fine for trying to get home can anyone explain it not you scott shut the hell up,9.3,1,25,0.0,0.0,7,167,0.041916167664670656,25,1.0,0,0.0,0.04
3,@MickeyBlowtorch I've been frustrated by this commercial since I've first scene it. The bitch ignores her bloody child while having a ball playing with tlher cat. Hits way to close to realty for a lot of parents who ignore their kids.,HOF,1,i've been frustrated by this commercial since i've first scene it the bitch ignores her bloody child while having a ball playing with ther cat hits way to close to realty for a lot of parents who ignore their kids,9.71,2,41,0.0,0.0,6,234,0.02564102564102564,38,0.926829268292683,0,0.0,0.0
4,just want the swagger of that one asshole drummer in the Cheerios shirt in the sorry you're not a winner video,HOF,1,just want the swagger of that one asshole drummer in the cheerios shirt in the sorry you are not a winner video,8.44,1,21,0.0,0.0,1,110,0.00909090909090909,18,0.8571428571428571,0,0.0,0.0
5,"@LeatherboyJBo Cover those nipples, you don't want to look like a whore!  Clamps would work.",HOF,1,cover those nipples you do not want to look like a whore camps would work,8.59,0,15,0.0,0.0,5,92,0.05434782608695652,15,1.0,0,0.06666666666666667,0.0
6,Guys I've blocked that account for a reason lmao. This the 2nd time in the space of a few hours my tl has been flooded with people quoting that shithead. Maybe I'll join too in the morning lol. It's 12:47 am here and I'm going to sleep. Bye. Just block every cunt you find. https://t.co/vZueqSYoje,HOF,1,guys i've blocked that account for a reason lmaz this the nd time in the space of a few hours my tl has been flooded with people quoting that shithead maybe i'll join too in the morning lol it is 47 am here and i'm going to sleep bye just block every count you find,9.06,1,55,0.0,0.0,12,297,0.04040404040404041,50,0.9090909090909091,1,0.0,0.0
7,Jst we know 2 cry on the lynches done by the #goons in #Bengal . If u R considering urself a secular and well educated being silent.die of shame. nearly one 1lakh #Hindusinbengal forced to flee away of their own houses.. shame on ur #Secularism #BengalBurning  @AmitShahOffice hlp,HOF,1,st we know cry on the lunches done by the in if u r considering urself a secular and well educated being silent die of shame nearly one lakh forced to flee away of their own houses shame on ur help,11.86,0,48,0.020833333333333332,0.0,11,280,0.039285714285714285,45,0.9375,0,0.0,0.0
8,The harsh truth of the matter is....Modi and his team is not resigning NOT because they want to retain their position of power...it's actually because they are shit scared about what Indians would do to them once they become ordinary citizens. #Resign_PM_Modi #ResignModi,HOF,1,the harsh truth of the matter is modi and his team is not resigning not because they want to retain their position of power it is actually because they are shit scared about what indians would do to them once they become ordinary citizens,10.54,1,43,0.023255813953488372,0.0,12,271,0.04428044280442804,38,0.8837209302325582,0,0.0,0.0
9,@narendramodi @MamataOfficial I'm just fed up with your willingness to became a new Gandhi ...sir sorry to say that you  disappointed us...Not a single tweet to condemned #BengalViolence and in solidarity of our #BJPKaryakartas ...wake up .. #BengalBurning,NOT,0,i'm just fed up with your willingness to became a new gandhi sir sorry to say that you disappointed us not a single tweet to condemned and in solidarity of our wake up,10.17,0,38,0.0,0.0,13,256,0.05078125,34,0.8947368421052632,0,0.0,0.0
